,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,review
637,9.5,0.885,0.27,2.3,0.084,31.0,145.0,0.9978,3.24,0.53,9.4,5,"The blend in this Pauillac-inspired cuvée is based on Cabernet Sauvignon, resulting in a wine that's slightly more structured than the others. Tobacco and cassis pick up hints of toffee and brown sugar on the finish. Drink now–2015."
640,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,5,Here's a straightforward and honest interpretation of Barbera d'Asti with bitter almond and fresh notes of wild berries and juicy pomegranate. The wine ends with a cleansing blast of crisp acidity.
641,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,5,"A 100% Cabernet Sauvignon, with a mere 25 cases produced, it's soft in minty tannins and streams of acidity. It reveals cedar and light black cherry fruit and finishes big and smoky. Age 2019–2024, the structure is definitely there."
642,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,5,"Plum and cherry fruit flavors are dressed in malted milk chocolate. It's smooth and instantly accessible. The wine spent 18 months in 40% new French oak. It's ready right now, and does not require further cellaring."
643,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,5,"Direct and appealing now, like a cola drink infused with cherry and raspberry essence, with the caramelized, brown butter sauce complexities from oak barrel aging. That's pretty delicious, and the finish is dry and crisp, but this is not a wine to age."
644,9.9,0.54,0.45,2.3,0.071,16.0,40.0,0.9991,3.39,0.62,9.4,5,"Vintage 2007 was a big success in Sauternes, and this wine gives a good indication of the richness both of the yellow peach and apricot fruits and the drier botrytis. Ample, full and finely balanced."
646,7.3,0.67,0.05,3.6,0.107,6.0,20.0,0.9972,3.4,0.63,10.1,5,"Spiced fruit, creamed apples and some ripe tangy character all work together to give a bright, peppery wine, delicious now but worth aging for 1–2 years. The wine has great intensity, but seems to float easily between the fruit and the taut ageworthy character. Screwcap."
650,10.7,0.43,0.39,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,5,"Mild comfortable aromas of burnt orange and spiced pumpkin lead to a tight, focused palate of moderate weight. Dry melon and peach aromas are on the money, while this finishes clean as polished glass, with a touch of spice."
651,9.8,0.88,0.25,2.5,0.10400000000000001,35.0,155.0,1.001,3.41,0.67,11.2,5,"This could just as easily be labeled Cabernet because Cab is 90% of the blend. Regardless, it's a textbook version of a basic but likable Chilean Cabernet with currant and berry aromas. Ripe, composed and tasting of cassis and black cherry. Dry and clean on the finish, with all the basics in place."
652,15.9,0.36,0.65,7.5,0.096,22.0,71.0,0.9976,2.98,0.84,14.9,5,"Extract and weight mark this dry Syrah from Cabernet specialist Sequoia Grove. The wine tastes fresh and unresolved, with a grapy jamminess reminiscent of black-berry purée. Firm tannins and rich oak add complexity, but this wine needs a few years to come together."
654,8.6,0.47,0.47,2.4,0.07400000000000001,7.0,29.0,0.9979,3.08,0.46,9.5,5,"Dry, crisp in acidity, and clean in the finish, this is a wonderful cocktail wine to drink with little savories. It has subtle but rewarding flavors of citrus fruits, Asian pears, honeysuckle and spicy vanilla. Try as an exotic alternative to Pinot Grigio or Sauvignon Blanc."
655,9.7,0.55,0.17,2.9,0.087,20.0,53.0,1.0004,3.14,0.61,9.4,5,"This super Tuscan blend of Syrah and Merlot opens with lush berry notes and clean aromas of cherry, blackberry and soft Christmas spice. The wine tastes rich, satisfying and would make a great match to lamb chops with roasted garlic potatoes."
656,10.7,0.43,0.39,2.2,0.106,8.0,32.0,0.9986,2.89,0.5,9.6,5,"Here's a concentrated and bright Barbera d'Asti Superiore with aromas of cherry, tobacco and tea leaf that are delivered in an intense and immediate manner. The wine is soft and velvety in the mouth thanks to the high extraction and despite the natural acidity."
661,7.5,0.42,0.31,1.6,0.08,15.0,42.0,0.9978,3.31,0.64,9.0,5,"Wood flavors initially dominate this wine. Then the more fruity character shows through to give a toast and citrus character, rounded while tightly textured. The wine has some aging potential, although it could be drunk now."
664,12.1,0.4,0.52,2.0,0.092,15.0,54.0,1.0,3.03,0.66,10.2,5,"Subtle aromas of red berry, brimstone and a floral note lead the way. The palate offers juicy red cherry black raspberry, cinnamon and clove while a mineral note signals the close. It's still young but balanced, with fresh acidity and firm, refined tannins. Drink 2018 through 2026."
665,9.4,0.59,0.14,2.0,0.084,25.0,48.0,0.9981,3.14,0.56,9.7,5,"A surprise from this region of Cyprus, this is a fully modern, smooth effort. The nose is a bit rambunctious, and the wine needs time to knit together, but it has good tannic structure and nicely integrated oak that offers cola flavors and aromas of vanilla, tobacco and spice to accompany the sweet blackberry and cherry flavors. The finish is long and mouthwatering."
668,10.0,0.73,0.43,2.3,0.059000000000000004,15.0,31.0,0.9966,3.15,0.57,11.0,5,"Smoky cigar and toffee caramel hit the high notes in this soft, thick and rich reserve-level wine, sure to please fans of a full-bodied, generously layered style. Blackberry and blueberry jam provide the fruit to match the savory elements."
670,6.9,0.4,0.24,2.5,0.083,30.0,45.0,0.9959,3.26,0.58,10.0,5,"Assembled from the same lots as the winery's more expensive varietal wines, this high-powered, Bordeaux-style blend is one of Walla Walla's best values. Big and bursting with dark-fruit flavors of fig, black cherry and cassis, the barrel aging adds espresso and chocolate in generous amounts. There's noticeable heat on the finish, but no lack of potent flavor."
671,8.2,0.73,0.21,1.7,0.07400000000000001,5.0,13.0,0.9968,3.2,0.52,9.5,5,"Hailing from the winery's Cave Spring Vineyard, it's dry in style with notes of notes of lime, slat, and mint backed by tart, mouthwatering acids that draw out the finish."
672,9.8,1.24,0.34,2.0,0.079,32.0,151.0,0.998,3.15,0.53,9.5,5,"Full-bodied and fresh, this offfers attractive aromas of blue flower, crushed black plum, and baking spices with a whiff of graphite. The smooth palate delivers blackberry, bitter cherry, raisin, black pepper and clove alongside firm tannins. Drink 2015–2020."
673,8.2,0.73,0.21,1.7,0.07400000000000001,5.0,13.0,0.9968,3.2,0.52,9.5,5,"White, almost jammy fruits, mingle with acidity, minerality and tight tannins. This is a wine that offers spice, superrich fruit and intensity of flavor. Like all the wines produced by Nicolas Joly, this is made from biodynamically grown grapes, offering pure flavor and nothing else."
675,9.3,0.41,0.39,2.2,0.064,12.0,31.0,0.9984,3.26,0.65,10.2,5,"Packed in a bottle that has a passing resemblance to an oil lamp, this wine is certainly bright. Its fruitiness and warm acidity give it a ripe character. It's full of red fruits with an attractive orange tang. Drink now."
677,8.6,0.8,0.11,2.3,0.084,12.0,31.0,0.9979,3.4,0.48,9.9,5,"On the north bank of the river, the remote Quinta dos Canais has produced a ripe, richly textured, perfumed wine that's packed with sweet berry flavor. It is concentrated, complete and softly tannic, suggesting medium-term aging."
678,8.3,0.78,0.1,2.6,0.081,45.0,87.0,0.9983,3.48,0.53,10.0,5,"Here's a textbook Napa Cab. It's concentrated in black currant flavors, with the best tannic structure money can buy. Soft and elegant in the mouth, with a long, elegant finish. Could use some individuality, though, as it's firmly in the international style."
679,10.8,0.26,0.45,3.3,0.06,20.0,49.0,0.9972,3.13,0.54,9.6,5,"Blended with 4% Viognier and 1% Grenache, this fragrant offering displays aromas of fresh flowers, herbs, green olive, huckleberry and smoked meat. The palate is ripe and fruit forward, a bit balled up in the middle right now but showing a pleasing sense of purity with length to match. Give it time to come into its own."
680,13.3,0.43,0.58,1.9,0.07,15.0,40.0,1.0004,3.06,0.49,9.0,5,"This is an exuberantly fruity, spicy and robust wine, speckled with 2% Petite Sirah. Dark and full of red berry flavor, the palate is dusted in brown sugar and black pepper. Ripe and concentrated, it drinks smooth and elegant despite its serious power."
682,8.5,0.46,0.31,2.25,0.078,32.0,58.0,0.998,3.33,0.54,9.8,5,"Forward and fruit-driven, with a hint of pepper to the blackberry and plum fruit. Pretty weighty for a Hunter Shiraz, but showing the region's subtle tannins on the finish. Drink now–2015."
683,8.1,0.78,0.23,2.6,0.059000000000000004,5.0,15.0,0.997,3.37,0.56,11.3,5,"Penetrating aromatically, spicy and complex, this brings in sharp berry scents, baking chocolate and a streak of herb. It's tight and vertically structured, and once in the mouth it turns a bit hard and unyielding. But it lingers and resonates, improves after being open for several hours, and can be cellared for up to a decade."
684,9.8,0.98,0.32,2.3,0.078,35.0,152.0,0.998,3.25,0.48,9.4,5,"This Brunello offers attractive notes of mature fruit, leather, tobacco and spice backed by warm, earthy tones that are consistent with Sangiovese Grosso. The wine's structure is syrupy and thick: It definitely has the heft to pair with aged cheese or succulent steak."
685,8.1,0.78,0.23,2.6,0.059000000000000004,5.0,15.0,0.997,3.37,0.56,11.3,5,"Rounded while still fresh, this is a full-bodied Sancerre, the Sauvignon Blanc herbal flavors given more character with touches of green apple, bold lime and grapefruit. Ready to drink over the next several months."
686,7.1,0.65,0.18,1.8,0.07,13.0,40.0,0.997,3.44,0.6,9.1,5,"There's a very nice, succulent quality to this wine that is enhanced by smooth cherry flavors, sweet spice, chocolate, leather, tobacco and barbecue sauce. It would pair well with boiled beef and mint chutney."
687,9.1,0.64,0.23,3.1,0.095,13.0,38.0,0.9998,3.28,0.59,9.7,5,"This is a cool cru, which shows even in this great year with its structure, austerity and steely character. It makes it old-style Chablis, with its green fruits and lively, poised freshness."
688,7.7,0.66,0.04,1.6,0.039,4.0,9.0,0.9962,3.4,0.47,9.4,5,"Layers of pollen, dusty mineral and spice lend complexity to this concentrated wine full of yellow peach and fresh apple flavors. It's delicate and lithe in texture, yet punchy and penetrating."
689,8.1,0.38,0.48,1.8,0.157,5.0,17.0,0.9976,3.3,1.05,9.4,5,"While dry in style and crisply balanced, plump white peaches and apricots shine brightly in this silky Pinot Blanc. It's rich and round with a slightly clingy mouthfeel but not at all cloying or dense. Enjoy now through 2020."
691,9.2,0.92,0.24,2.6,0.087,12.0,93.0,0.9998,3.48,0.54,9.8,5,"Very fine, full and fruity, this is a remarkably flavorful wine. It captures just a hint of the floral/soapy side of the grape, but brings in delicious fruit flavors of peach and pear and melon and more, a luscious mix that continues to resonate right on through a powerful finish. It's just slightly off-dry, but not really sweet."
692,8.6,0.49,0.51,2.0,0.42200000000000004,16.0,62.0,0.9979,3.03,1.17,9.0,5,"A classic Mosel Kabinett that displays the concentration and pure, expressive fruit typical of the great 2008 vintage. There's loads of Asian spice, apple and gardenia on the nose, while a citrus top note come through on the palate. Finishes long, with a lingering mineral edge. Will improve over the next decade or more though it's drinking well now."
693,9.0,0.48,0.32,2.8,0.084,21.0,122.0,0.9984,3.32,0.62,9.4,5,"There's a meaty, smoked element to the nose of this Brunello that recalls beef jerky or sizzling bacon. Those hearty aromas are followed by delicate layers of blackberry, cherry and spice. The wine is bright and acidic in the mouth, which makes for an excellent balance."
694,9.0,0.47,0.31,2.7,0.084,24.0,125.0,0.9984,3.31,0.61,9.4,5,"A lovely young Pinot, filled with fresh fruits and spices, wrapped into a fine, silky texture. The flavors of raspberries, cherries and cola have a rich, meaty, leathery edge that adds complexity and earthiness. Good now, and should hold for several years."
698,9.4,0.615,0.28,3.2,0.087,18.0,72.0,1.0001,3.31,0.53,9.7,5,"Smooth, creamy wine, with rounded white fruits that float easily over the judicious light toast flavor. The wine has some richness, but the mineral character of Chablis is there, giving the wine delicious fruit structure. Imported by Wilson Daniels Ltd."
705,8.4,1.035,0.15,6.0,0.073,11.0,54.0,0.9990000000000001,3.37,0.49,9.9,5,"Pretty and pale, this wine is already showing some sunset shades around the rim, and drinking like a wine with more than just a couple of years under its belt. That works in its favor, as it offers cherry-pie fruit, cut tobacco, some minerality and a chocolate/coffee kiss in the finish."
706,7.0,0.78,0.08,2.0,0.09300000000000001,10.0,19.0,0.9956,3.4,0.47,10.0,5,"This 100% varietal wine comes from older plantings at this vineyard. Aromas of plum, barrel spice and herb are up front followed by sweet black-fruit flavors. It shows hang time on the finish."
707,7.4,0.49,0.19,3.0,0.077,16.0,37.0,0.9966,3.37,0.51,10.5,5,"The winery's largest-production Cabernet Sauvignon and that's still minuscule by most standards, this lovely wine is lean in firm tannins and dark plum, with a sprinkling of coconut flakes and vanilla. Spring for the single-vineyard offerings for a fuller experience."
710,10.6,1.025,0.43,2.8,0.08,21.0,84.0,0.9985,3.06,0.57,10.1,5,"Juicy, grippy and balanced with integrated oak, this wine shows generous red and blue fruit, with spicy acidity and a lingering finish."
711,8.9,0.565,0.34,3.0,0.09300000000000001,16.0,112.0,0.9998,3.38,0.61,9.5,5,"This elegant effort is 46% Cab Sauvignon, 36% Merlot and 18% Cab Franc; still wrapped up tight and showing tart cassis and berry fruit. There is a lot of the classic Ciel minerality underlying the fruit, with hard tannins and lightly peppery herbal details. At just 14.1% alcohol, this is a classic example of how Washington brings bright New World fruit and terroir to a style that retains the elegance of the Old World."
712,8.7,0.69,0.0,3.2,0.084,13.0,33.0,0.9992,3.36,0.45,9.4,5,"The complex smoke, earth, spice and mineral aromas that open this wine are followed by subdued tangerine and citrus flavors, dried spice and mineral accents on an oaky frame. Like the other Mt. Carmel Vineyard offerings, this is a bit tight now but has a promising, good balance. Not a fruit-driven wine, this finishes long with spice and mineral elements. Only 86 cases produced."
713,8.0,0.43,0.36,2.3,0.075,10.0,48.0,0.9976,3.34,0.46,9.4,5,"This Brut expression from northern Italy boasts elegant aromas of honeysuckle, stone fruit, spice and crushed almonds. The wine is clean and smooth with creamy effervescence that sits tight over the palate."
714,9.9,0.74,0.28,2.6,0.078,21.0,77.0,0.998,3.28,0.51,9.8,5,"Nicely crafted and a bit riper than the regular Sauvignon, this fruit-driven wine adds light butterscotch and hints of wood spice to the basic citrus and apple flavors. The acids taste like fresh-squeezed Meyer lemons."
716,8.0,0.43,0.36,2.3,0.075,10.0,48.0,0.9976,3.34,0.46,9.4,5,"A powerful, tannic, youthful Cabernet, this mash-up of blackberries, black cherries and cassis brings some heat, some coffee and some muscle. The tannins are still a bit raw but the balance and power suggest that it won't hit its perfect stride for another half decade at least."
717,7.6,0.46,0.11,2.6,0.079,12.0,49.0,0.9968,3.21,0.57,10.0,5,"Leafy underbrush, truffle, woodland berry and toast aromas lead the nose. The chewy, solid palate offers ripe black cherry, crushed raspberry, grilled sage and ground aniseed alongside bracing tannins and assertive acidity. Drink 2018–2028."
718,8.4,0.56,0.04,2.0,0.08199999999999999,10.0,22.0,0.9976,3.22,0.44,9.6,5,"Under the management of Jean Merlaut, this estate has lost some of the super-opulence of the wines of the 90s, and gained finesse and elegance. That has stood the 2003 in good stead, emphasizing solidity and dry tannins to balance the wood and cranberry flavors of the fruit. Imported by Diageo Chateau & Estates."
719,7.1,0.66,0.0,3.9,0.086,17.0,45.0,0.9976,3.46,0.54,9.5,5,"The pedigree of this wine is impeccable: grapes from Rosella's, Garys' and Pisoni vineyards. The wine is soft, silky and captivating, in a drink-me-now style that emphasizes pure, luscious raspberry, cherry and mocha fruit."
720,8.4,0.56,0.04,2.0,0.08199999999999999,10.0,22.0,0.9976,3.22,0.44,9.6,5,"Sassoalloro offers good quality for a great price. This vintage is on the ripe side, with aromas of mature berry, maple syrup, resin and leather. Chewy, succulent tannins characterize this plush, fruit-forward Sangiovese."
721,8.9,0.48,0.24,2.85,0.094,35.0,106.0,0.9982,3.1,0.53,9.2,5,"This is tight, leafy, tannic and young, but it nicely captures the Wahluke Slope AVA style, with tight edges, crisp acids, citrus rind nuances, and a polished mouthfeel. It seems to gather strength as it sits on the palate; and it will profit from more time in bottle. But the balance is already there, the fruit is tangy but ripe, and the acids are just perfect."
722,7.6,0.42,0.08,2.7,0.084,15.0,48.0,0.9968,3.21,0.59,10.0,5,"88-90. Barrel sample. A wine with deep tannins and a very dry character, this is big and solid, but maybe lacking fruit."
723,7.1,0.31,0.3,2.2,0.053,36.0,127.0,0.9965,2.94,1.62,9.5,5,"The 2007 Clarendon is in a more feminine, approachable style than Roman Bratasiuk's other 2007 Grenaches, featuring dried spices, watermelon and cherry aromas and fine—almost delicate—tannins. Cherry-berry flavors finish with hints of cinnamon and clove. Drink now–2015."
725,9.0,0.66,0.17,3.0,0.077,5.0,13.0,0.9976,3.29,0.55,10.4,5,"Here's a fresh, zesty sparkling blend (Chardonnay with 10% Pinot Bianco for extra smoothness on the finish) that would pair with fried shrimps or spicy crab cakes. Peach, custard and toasted nut are prominent aromas."
727,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68,9.5,5,"89-91 Barrel sample. Firm and dry, with powerful blackcurrant acids, a wine that has a strong mineral content, very concentrated and dark."
728,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68,9.5,5,"This is an easy drinking, soft and attractive Pinot Noir that's fully ready now. It's dry and smooth, with a complex of cherry, raspberry, cola, herb, oak and spice flavors. Great with Mexican carne asada."
730,9.5,0.55,0.66,2.3,0.387,12.0,37.0,0.9982,3.17,0.67,9.6,5,"Barbecue spice, clove, nutmeg and dark berry fruit open the nose of this dark, garnet-colored wine. It has soft tannins, with loads of intensity and richness on the finish."
731,8.9,0.875,0.13,3.45,0.08800000000000001,4.0,14.0,0.9994,3.44,0.52,11.5,5,"Tageto is a Bordeaux blend from Coastal Tuscany that will appeal to those who like an element of soft, chewy sweetness in their wines. It's bold and big on the palate with enduring persistency and layers of sweet strawberry, cinnamon and nutmeg."
732,7.3,0.835,0.03,2.1,0.092,10.0,19.0,0.9966,3.39,0.47,9.6,5,"From the warmer 2005 vintage, this Riserva Chianti Classico is packed tight with mature aromas of black cherry, cassis, leather, black tobacco and a touch of drying graphite. The wine would pair with cheesy lasagna al forno."
733,7.0,0.45,0.34,2.7,0.08199999999999999,16.0,72.0,0.998,3.55,0.6,9.5,5,"A smooth wine, its tannins immersed in sweet fruit, spice and black currant flavors. It is firm, likely to age for a few years, with a good dense structure and a great burst of final black fruit."
734,7.7,0.56,0.2,2.0,0.075,9.0,39.0,0.9987,3.48,0.62,9.3,5,"Givry, which is located in the Côte Chalonnaise, produces wines that have warmth and a firm edge. This wine fits the style with its juicy red fruits, ripe tannins and solid, chunky finish. This is not for aging, so drink now."
735,7.7,0.965,0.1,2.1,0.11199999999999999,11.0,22.0,0.9963,3.26,0.5,9.5,5,"An intense wine with almost exaggerated levels of Nutella, walnut cream, peanut and pressed fruit on the nose. In the mouth, you'll pick up less obvious dusty and mineral tones on a mouth-drying finish. Imported by Selected Estates of Europe Ltd."
736,7.7,0.965,0.1,2.1,0.11199999999999999,11.0,22.0,0.9963,3.26,0.5,9.5,5,"A blend of botrytized Pinot Blanc and Chardonnay, with 38.3% residual sugar, this enormously sweet dessert wine is rich and pure in apricot, vanilla and buttercream flavors. It's a rewarding wine, a rich, complex after-dinner sipper."
738,9.0,0.46,0.23,2.8,0.092,28.0,104.0,0.9983,3.1,0.56,9.2,5,"From a remote vineyard, this generous, well-made wine offers subtle black-cherry aromas, a velvety texture and blackberry flavors. Just moderately tannic, it's softer than some, yet has enough grip in the texture to be great with an indulgent meal."
739,9.0,0.69,0.0,2.4,0.08800000000000001,19.0,38.0,0.9990000000000001,3.35,0.6,9.3,5,"While it's light, this Marsannay, from the northernmost appellation of the Côte de Nuits, gives warm, soft pleasure. The fruit has fresh berry and sweet jam flavors, followed by a layer of dryness that is not excessive and an attractive lively finish."
741,9.2,0.53,0.24,2.6,0.078,28.0,139.0,0.9978799999999999,3.21,0.57,9.5,5,"Here's a fresh, delicious Nero d'Avola, loaded with juicy blackberry and black cherry sensations that are accented by hints of black pepper and nutmeg. It's a delightfully easy-drinking, fruit-forward style meant to be enjoyed young."
742,6.5,0.615,0.0,1.9,0.065,9.0,18.0,0.9972,3.46,0.65,9.2,5,"A really nice and pure bargain-priced Cabernet, which is still what Chile excels at. The nose offers bold black cherry and a little rubber, while the palate is tight, pure and in great condition. Black fruit flavors with some peppery darkness is what it's all about."
743,11.6,0.41,0.58,2.8,0.096,25.0,101.0,1.00024,3.13,0.53,10.0,5,"Firm and full-bodied, this opens with aromas of mature plum, underbrush, baked earth, vanilla and exotic spice. The high-toned, chewy palate doles out ripe black cherry, raspberry jam, vanilla, mocha, white pepper and mint alongside polished tannins."
744,11.1,0.39,0.54,2.7,0.095,21.0,101.0,1.0001,3.13,0.51,9.5,5,"Great price for this rich wine. It shows the density and concentration of mountain fruit, and also the tannins, with bone-dry flavors of blackberries and currants as well as hints of licorice and Canadian bacon. Good now with a few hours of decanting, and should develop in the bottle through 2013 or so."
747,8.6,0.33,0.4,2.6,0.083,16.0,68.0,0.99782,3.3,0.48,9.4,5,"Ripe plum, blue flower and an earthy whiff of truffle lead the nose, while the juicy palate offers black cherry and clove flavors with a hint of game. Chewy tannins provide the framework."
750,8.3,0.65,0.1,2.9,0.08900000000000001,17.0,40.0,0.99803,3.29,0.55,9.5,5,"A tasty, juicy wine with ripe red cherry fruit and lively acidity. Soft, beautifully ripe, ready to drink."
751,8.3,0.65,0.1,2.9,0.08900000000000001,17.0,40.0,0.99803,3.29,0.55,9.5,5,"This Tuscan white offers very mature notes of apricot, peach, honeydew and orange marmalade. The wine is structured, sophisticated and creamy with tart citrus notes on the close."
752,7.6,0.54,0.13,2.5,0.09699999999999999,24.0,66.0,0.99785,3.39,0.61,9.4,5,"From vines planted in 1958 in an appellation that straddles both Sonoma and Mendocino counties, this is an intriguing, interesting wine, mostly varietal, with 8% each of Mourvèdre and Syrah. Floral, it veers into leather and game, with a juicy backbone of red cherry and berry and earthy, textured tannins."
753,8.3,0.65,0.1,2.9,0.08900000000000001,17.0,40.0,0.99803,3.29,0.55,9.5,5,"A rich wine that strikes a good balance among tropical fruits, acids and a dry botrytis core. It shows notes of spice and honey, with apricot juice acidity. This is ready to drink."
757,8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,5,"Very supple on the palate, this Cabernet Sauvignon-Merlot blend has dense black cherry aromas and flavors framed by dill oak.  Earth notes add a touch of complexity and the finish is full, with tobacco-earth accents.  Attractive and easy-to-like as it is, but the wine seems to have the potential for more nuance and dimension than it presently shows."
758,8.1,0.87,0.0,2.2,0.084,10.0,31.0,0.99656,3.25,0.5,9.8,5,"A young, oaky, flashy Pinot Noir, grown on these mountain ridges high above the Anderson Valley. The wine is dry and silky, with a light bodiedness that belies its complexity. Shows concentrated raspberry, cherry, red currant, cola, red licorice and spice flavors that linger into the finish. Elegant, it will provide fine drinking over the next six years."
759,8.8,0.42,0.21,2.5,0.092,33.0,88.0,0.99823,3.19,0.52,9.2,5,"A huge improvement from the overoaked, flawed 2007 Sibaris. This is still toasty and resiny like most Chilean Chards, but it's also smooth and thorough in the mouth, with orange, melon, vanilla and toast flavors. Unfolds nicely on the finish; very good for Maipo Chardonnay and, as stated, a far more balanced wine than the previous vintage."
760,9.0,0.58,0.25,2.8,0.075,9.0,104.0,0.99779,3.23,0.57,9.7,5,"A good wine, with jammy Cabernet flavors of blackberries, cassis and savory spices. It's fairly low in alcohol, with a brisk, clean scour, but tannic and astringent. Feels immature even at the age of nearly five years, but it should develop. Give it another six years."
761,9.3,0.655,0.26,2.0,0.096,5.0,35.0,0.9973799999999999,3.25,0.42,9.6,5,"This excellent Cab has a Bordeaux-like nose, with forest floor meeting meaty red fruit and oak. Big tannins offer great structure without overpowering, and the wine has enough acid to feel alive. Barnyard flavors show on the palate, accompanied by complex coffee and red berry. A juxtaposition of Old World structure and New World fruit—this is why South African wine can excel. Imported by Vineyard Brands."
763,9.3,0.655,0.26,2.0,0.096,5.0,35.0,0.9973799999999999,3.25,0.42,9.6,5,"One of the top Vouvray sparkling wines, this 2012 is still young. That gives it almond, quince and pear flavors along with intense bright acidity. It is still missing the richer, toasty character that will come with age. Drink from 2016."
766,8.8,0.59,0.18,2.9,0.08900000000000001,12.0,74.0,0.9973799999999999,3.14,0.54,9.4,5,"This opens with a spicy nose that recalls barbecue smoke, cola and cured meat. There are notes of sweet cherry and blackberry on the finish, giving this its sweet, fruity appeal."
767,7.5,0.6,0.32,2.7,0.10300000000000001,13.0,98.0,0.9993799999999999,3.45,0.62,9.5,5,"Steeped plum and chopped herb scents lead the nose and follow through to the rather lean palate, which is marked by red cherry and a hint of star anise. Youthfully assertive tannins provide a firm finish. This needs a few more years to come around."
769,7.9,0.72,0.01,1.9,0.076,7.0,32.0,0.9966799999999999,3.39,0.54,9.6,5,"This is a pleasant, easy-drinking Grenache to enjoy now with a nice steak or lamb chop. It's dry and silky, with the weight of Pinot Noir, and flavors of cherries, red currants, cola, sweet tobacco, leather and spices."
771,9.4,0.685,0.26,2.4,0.08199999999999999,23.0,143.0,0.9978,3.28,0.55,9.4,5,"Full, tight and entering its prime, this classic Spanish red offers big aromas of leather, blackberry, violets and dried brush. Dense on the palate, with flavors of black olive, tobacco and racy black fruit. Chewy and chocolaty on the finish, with a wash of real-deal tannins. Will age well for at least another five years. Imported by Classical Wines."
772,9.5,0.57,0.27,2.3,0.08199999999999999,23.0,144.0,0.99782,3.27,0.55,9.4,5,"Still young and jumpy, but the ripeness and pedigree of this Penedès bruiser is beyond reproach. It's big, bold and deep as a mountain lake, with black plum, bullion and a pile of blackberry on the palate. Tons of extract and tannins make this inky, saturated heavyweight a wine to ponder. For fans of forward, beefy reds. Imported by Dreyfus, Ashby & Co."
775,7.2,1.0,0.0,3.0,0.102,7.0,16.0,0.9958600000000001,3.43,0.46,10.0,5,"This firmly built Merlot shows almost Cabernet-like reserve in its tobacco, cherry and cassis shadings that finish woody, warm and firm. At the moment, the copious oak sits atop the fruit, suggesting at least another 2–3 of cellaring prior to full enjoyment."
778,8.3,0.43,0.3,3.4,0.079,7.0,34.0,0.9978799999999999,3.36,0.61,10.5,5,"With its slightly lower pressure, this is a fresh, poised wine, which balances appley fruit, crispness and delicious green flavors. It is dry, but its softness and freshness leaves a very easy aftertaste."
779,7.1,0.52,0.03,2.6,0.076,21.0,92.0,0.99745,3.5,0.6,9.8,5,"This shows the variety's delicious spiciness, as well as ripened pear and honeysuckle flavors. Treading that fine line between dry and off-dry, it's an exotic accompaniment to Vietnamese, Ethiopean and Indian foods."
781,6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.9973200000000001,3.66,0.65,9.8,5,"Spice, smoked meat and oak tones come to the forefront of this bright Barbera and are followed by black berry, cherry and cassis. The wine is plush and velvety with good crispness and a lively berry driven finish."
782,9.0,0.82,0.05,2.4,0.081,26.0,96.0,0.9981399999999999,3.36,0.53,10.0,5,"Just a single barrel of this designate was bottled—too bad, as it's a tasty wine with bold fruit flavors of cranberry and cherry. Baking spices and a streak of cola come through also, and this should drink nicely into the mid-2020s."
783,6.5,0.46,0.14,2.4,0.114,9.0,37.0,0.9973200000000001,3.66,0.65,9.8,5,"Perticaia delivers a gorgeous Trebbiano with rich creaminess to its texture and compelling aromas of passion fruit, melon, yellow rose and pulpy stone fruit. You could pair this beautiful wine with shellfish or crab cakes."
784,7.1,0.59,0.01,2.5,0.077,20.0,85.0,0.99746,3.55,0.59,9.8,5,"A portion of this is estate grown, the rest sourced from neighboring southern Oregon vineyards. Harvested at just 24 brix, it's an elegant style, with plenty of tart wild berry flavors, and alcohol under 14%. Just a bare hint of new oak adds a nice toasty note to a black cherry finish."
785,9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5,9.5,5,"Vintner Gianni Pignattai has crafted a gorgeous Rosso di Montalcino that is a small step away in intensity and complexity from its big brother Brunello. Careful oak aging adds layers of spice and tobacco, but there's also an abundance of bright berry fruit. The wine is lean and compact in the mouth with a fresh close."
786,9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5,9.5,5,"This is in winemaker Steve McKenna's characteristic full-bodied, broad-shouldered style, with softer tannins than the 2005. It's packed with dark, earthy fruit: cola, mocha and plum notes form the core, enveloped in plush, dusty tannins."
